Animal,Date,Location,Session,Notes,More Notes
Marble12,5/14/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180514_2_fcbox,2,Shock Box Day -1,
Marble12,5/15/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180515_1_openfield,1,Open field Day 0,
Marble12,5/15/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180515_2_fcbox,2,Shock Box Day 0,
Marble12,5/15/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180515_3_openfield,3,Open field  4hr,
Marble12,5/15/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180515_4_fcbox,4,Shock Box  4hr,
Marble12,5/16/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180516_1_openfield,1,Open field Day 1,
Marble12,5/16/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180516_2_fcbox,2,Shock Box Day 1,
Marble12,5/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180517_1_openfield,1,Open field Day 2,
Marble12,5/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180517_2_fcbox,2,Shock Box Day 2,
Marble12,5/22/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180522_1_openfield,1,Open field Day 7,
Marble12,5/22/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble12/20180522_2_fcbox,2,Shock Box Day 7,
Marble14,8/14/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180814_1_openfield,1,Open field Day -2,
Marble14,8/14/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180814_2_fcbox,2,Shock Box Day -2,
Marble14,8/15/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180815_1_openfield,1,Open field Day -1,
Marble14,8/15/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180815_2_fcbox,2,Shock Box Day -1,
Marble14,8/16/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180816_1_openfield,1,Open field Day 0,Video tracking file corrupted - skips.
Marble14,8/16/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180816_2_fcbox,2,Shock Box Day 0,
Marble14,8/16/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180816_3_openfield,3,Open field  4hr,Video tracking file corrupted - skips.
Marble14,8/16/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180816_4_fcbox,4,Shock Box  4hr,
Marble14,8/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180817_1_openfield,1,Open field Day 1,Video tracking file corrupted - skips.
Marble14,8/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180817_2_fcbox,2,Shock Box Day 1,
Marble14,8/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180818_1_openfield,1,Open field Day 2,Video tracking file corrupted - skips.
Marble14,8/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180818_2_fcbox,2,Shock Box Day 2,
Marble14,8/23/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180823_1_openfield,1,Open field Day 7,Video tracking file corrupted - skips.
Marble14,8/23/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble14_10Hz/20180823_2_fcbox,2,Shock Box Day 7,
Marble24,11/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181126_1_openfield,1,Open field Day -2,
Marble24,11/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181126_2_fcbox,2,Shock Box Day -2,
Marble24,11/27/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181127_1_openfield,1,Open field Day -1,
Marble24,11/27/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181127_2_fcbox,2,Shock Box Day -1,
Marble24,11/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181128_1_openfield,1,Open field Day 0,
Marble24,11/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181128_2_fcbox,2,Shock Box Day 0,
Marble24,11/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181128_3_openfield,3,Open field  4hr,
Marble24,11/28/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181128_4_fcbox,4,Shock Box  4hr,
Marble24,11/29/18,/Users/nkinsky/Documents/BU/Working/Eraser/Control Group/Marble24/20181129_1_openfield,1,Open field Day 1,
